id,county,classify,project_type,title,zbkzj,kbjj,k1,k2,numbers_bidders,publish_time,source_website_address,trade_method
ah-huainan-8a51997e-d7f4-49f4-ac17-39e7774fdeb6-1KB,市级,工程建设,建筑工程,西淝河毛集实验区花家湖段生态环境综合治理工程EPC总承包项目,49500000.0,42282900.0,3.0,,18,2022-11-14,http://jy.ggj.huainan.gov.cn/jyxx/012001/012001012/012001012001/20221114/8a51997e-d7f4-49f4-ac17-39e7774fdeb6-1KB.html,公开招标
ah-huainan-8d342f9e-9031-43ce-9d48-94081744ad92-1KB,寿县,工程建设,公路工程,寿县“十四五”交通重点项目前期服务总承包项目,36000000.0,29800000.0,,,9,2023-05-29,http://jy.ggj.huainan.gov.cn/jyxx/012001/012001012/012001012002/20230529/8d342f9e-9031-43ce-9d48-94081744ad92-1KB.html,公开招标
ah-huainan-8d825b44-7edf-47cc-a7c4-3f661d543b4d-1KB,市级,工程建设,建筑工程,淮南经开化工园区危化品运输车辆专用停车场建设项目,19488400.0,16326020.81,0.0,,190,2023-06-21,http://jy.ggj.huainan.gov.cn/jyxx/012001/012001012/012001012001/20230621/8d825b44-7edf-47cc-a7c4-3f661d543b4d-1KB.html,公开招标
ah-huainan-8dd0ea6f-eab0-42ab-b9cf-d751129a8153-1KB,寿县,工程建设,,新桥科创产业园（标准化厂房）二期电梯项目,8834450.0,7722200.0,-15.0,-12.6,37,2023-03-21,http://jy.ggj.huainan.gov.cn/jyxx/012001/012001012/012001012002/20230321/8dd0ea6f-eab0-42ab-b9cf-d751129a8153-1KB.html,公开招标
ah-huainan-8f28f273-3e22-45aa-be37-78de213eddcb-1KB,寿县,工程建设,水利水电工程,寿县陶店提水泵站建设项目,17511397.35,16527125.28,0.2,-2.0,122,2023-01-11,http://jy.ggj.huainan.gov.cn/jyxx/012001/012001012/012001012002/20230111/8f28f273-3e22-45aa-be37-78de213eddcb-1KB.html,公开招标
ah-huainan-8f64399c-998d-40b0-ba6b-3e6a5f894e43-1KB,寿县,工程建设,/,寿县国投邻里中心电梯采购及安装项目,2560000.0,2252800.0,13.8,9.4,24,2023-01-18,http://jy.ggj.huainan.gov.cn/jyxx/012001/012001012/012001012002/20230118/8f64399c-998d-40b0-ba6b-3e6a5f894e43-1KB.html,公开招标
ah-huainan-93a05395-1436-432f-9b5a-253365bebfe2-1KB,寿县,工程建设,公路工程,寿县瓦埠湖大桥连接线工程第一标段,200043878.35,177230014.28,,,127,2022-11-11,http://jy.ggj.huainan.gov.cn/jyxx/012001/012001012/012001012002/20221111/93a05395-1436-432f-9b5a-253365bebfe2-1KB.html,公开招标
ah-huainan-93d2adac-ed28-4268-8ac2-c2e636a30abf-1KB,,工程建设,市政公用工程,寿县城市更新一期—南环路（双桥路-经二路）建设项目,11845924.2,10787609.33,0.6,0.94,252,2023-07-10,http://jy.ggj.huainan.gov.cn/jyxx/012001/012001012/012001012002/20230710/93d2adac-ed28-4268-8ac2-c2e636a30abf-1KB.html,
ah-huainan-9443b9a4-437e-46e9-8937-e67c51b61a0e-1KB,寿县,工程建设,公路工程,寿县2023年农村公路提质改造工程（小甸镇）,6140529.86,5341993.87,-12.4,-13.6,435,2023-04-19,http://jy.ggj.huainan.gov.cn/jyxx/012001/012001012/012001012002/20230419/9443b9a4-437e-46e9-8937-e67c51b61a0e-1KB.html,公开招标
ah-huainan-96eef03b-98e5-49a0-b0b6-c091faa69b8f-1KB,寿县,工程建设,,合肥新桥机场S1线（新桥机场至新桥产业园段）及配套工程建设项目第三方见证检测服务,8028800.0,6500000.0,,,4,2022-12-08,http://jy.ggj.huainan.gov.cn/jyxx/012001/012001012/012001012002/20221208/96eef03b-98e5-49a0-b0b6-c091faa69b8f-1KB.html,公开招标
ah-huainan-971364b1-5e3e-4e23-863b-8f08053d0449-1KB,寿县,工程建设,水利水电工程,2023年瓦埠镇水利设施建设工程第一标段,2346938.71,2155099.94,0.2,,200,2023-06-06,http://jy.ggj.huainan.gov.cn/jyxx/012001/012001012/012001012002/20230606/971364b1-5e3e-4e23-863b-8f08053d0449-1KB.html,公开招标
ah-huainan-97a4769d-c383-4899-b114-22274db5873c-1KB,寿县,工程建设,建筑工程,陶圩初中女生宿舍楼项目和陶圩初中教师周转宿舍项目,6018484.39,5656643.24,0.45,0.98,184,2023-06-13,http://jy.ggj.huainan.gov.cn/jyxx/012001/012001012/012001012002/20230613/97a4769d-c383-4899-b114-22274db5873c-1KB.html,公开招标
ah-huainan-97cd619c-b290-4572-97a9-b658c571b54d-1KB,凤台县,工程建设,公路工程,凤台县2023年农村公路安防设施提升工程一标段,12000000.0,9769516.24,0.0,,481,2023-04-27,http://jy.ggj.huainan.gov.cn/jyxx/012001/012001012/012001012003/20230427/97cd619c-b290-4572-97a9-b658c571b54d-1KB.html,公开招标
ah-huainan-98e0e414-3745-4885-af0c-d9d16018b7e1-1KB,寿县,工程建设,建筑工程,50Gwh锂电池产业基地（新能源电池标准化厂房）一期项目工程施工,553522062.56,498335912.65,,,64,2023-05-04,http://jy.ggj.huainan.gov.cn/jyxx/012001/012001012/012001012002/20230504/98e0e414-3745-4885-af0c-d9d16018b7e1-1KB.html,公开招标
ah-huainan-99c1e48b-b6cd-4a82-bf7b-4b218bf4a0ff-1KB,市级,工程建设,建筑工程,预采购淮南市烈士陵园二期烈士陈列馆展陈布展项目建设,4838514.45,4493856.11,0.0,,19,2023-04-12,http://jy.ggj.huainan.gov.cn/jyxx/012001/012001012/012001012001/20230412/99c1e48b-b6cd-4a82-bf7b-4b218bf4a0ff-1KB.html,公开招标
ah-huainan-9d36e968-136b-41ce-bb46-4e34edbf4651-1KB,寿县,工程建设,建筑工程,众兴、隐贤、安丰、保义、堰口、陶店、窑口、寿春、八公等9乡镇2023年校舍维修改造项目第一标段,3602285.12,3385986.26,0.55,0.97,181,2023-06-15,http://jy.ggj.huainan.gov.cn/jyxx/012001/012001012/012001012002/20230615/9d36e968-136b-41ce-bb46-4e34edbf4651-1KB.html,公开招标
ah-huainan-9dea6504-5ebb-437b-812a-10a53afefbc8-1KB,寿县,工程建设,建筑工程,隐贤镇多村联建生态产业基地（二期）,4199726.6,3823431.1,0.6,0.94,181,2023-05-25,http://jy.ggj.huainan.gov.cn/jyxx/012001/012001012/012001012002/20230525/9dea6504-5ebb-437b-812a-10a53afefbc8-1KB.html,公开招标
